Iteration;Lambda;X1;X2;F_x
;Rosenbrok;;;
0;;-2;2;409
1;0,000134816314697266;-1,78348499859619;2,05392652587891;134,736395011139
2;0,000150159942626953;-1,66193276036256;2,08776933992928;52,5473487018226
3;0,000216255126953125;-1,56385070120337;2,1169313939717;17,3775430680395
4;0,000277845764160156;-1,50529712259137;2,13519684234651;7,98535309368281
5;0,000371156616210937;-1,47422347252618;2,1449005528039;6,20263270034208
6;0,00037995654296875;-1,46597239380806;2,14706131202478;6,08142536487554
7;0,000336977294921875;-1,46391252438591;2,14719702945391;6,07259311777056
8;0,000444812072753906;-1,46280336625138;2,14682719931668;6,07034744851827
9;0,0074400390625;-1,45677582377293;2,13636127999891;6,05581352856896
10;0,000279293609619141;-1,45770889329489;2,13557001443147;6,05168547375193
11;0,000450748168945312;-1,45829361240985;2,13460948839821;6,04959026186234
12;0,01246027734375;-1,45509965798466;2,11469988806579;6,02819821935049
13;0,000233673278808594;-1,45359659966037;2,11482210510727;6,02048934945062
14;0,000274142272949219;-1,45255084222904;2,11471908076537;6,0173241828595
15;0,000584968566894531;-1,45131807224376;2,11415574065019;6,01509367749886
16;0,018165494140625;-1,44484783783573;2,0857027862883;5,97763532635622
17;0,000276984497070313;-1,44319211888534;2,08580707029833;5,9700898780352
18;0,000369444091796875;-1,44202745080683;2,08558513944796;5,96727045073933
19;0,00188776123046875;-1,43949539886301;2,08326622466476;5,96350150934339
20;0,000373090209960937;-1,44006377805896;2,0824365301416;5,96139841411191
21;0,00195669482421875;-1,44026753272317;2,07905033463298;5,95709565488042
22;0,000585491333007813;-1,43898853426547;2,07850234181647;5,95477146134981
23;0,0361702734375;-1,42524098145519;2,02197297841074;5,89051528013442
24;0,000242640502929688;-1,42277222548124;2,02242617636387;5,87016922152399
25;0,000271402893066406;-1,42117066874837;2,02252684671197;5,86285184238851
26;0,0003597880859375;-1,42000128965336;2,02232530947268;5,85991283207203
27;0,00116307458496094;-1,41828400524767;2,02094784608094;5,8569680175173
28;0,00107759936523438;-1,41882989202589;2,01891800954082;5,85414831110081
29;0,00074311328125;-1,41769782082673;2,01805009082471;5,85195886842203
30;0,0082211435546875;-1,41609470871992;2,00459540074672;5,83756675984724
31;0,00029309228515625;-1,41455743307357;2,00463812324506;5,83143110730192
32;0,000434890808105469;-1,41335924279803;2,00431931420629;5,82883881015875
33;0,004629052734375;-1,40864155078417;1,99808401257305;5,82063400042601
34;0,000334872314453125;-1,40963469493552;1,9971588947205;5,81651799685038
35;0,000895334716796875;-1,41041310623818;1,99535230237594;5,81379670917578
36;0,000989465209960937;-1,40904105908729;1,99414769336649;5,81113680201802
37;0,00261367578125;-1,4093393264757;1,98957324471944;5,80602881803292
38;0,000598131408691406;-1,40758195158185;1,98917418250081;5,80267169657395
39;0,02485740625;-1,39827549546654;1,9499629560916;5,75444122649883
40;0,00025305712890625;-1,39632408514003;1,95022671273559;5,7423947005416
41;0,000270789123535156;-1,39510278148312;1,9501993217662;5,7380286390404
42;0,000554954040527344;-1,39364836217721;1,94976783935423;5,73519561928352
43;0,68918953125;-0,980398989581551;0,914318191098609;4,14160349200575
44;0,000507603271484375;-0,969059660178377;0,919075853790225;3,91719903018049
45;0,000649521850585937;-0,961466168075286;0,921674041374145;3,84810201623343
46;0,000600985107421875;-0,958474517649937;0,92200375995133;3,83673156536909
47;0,000971459594726563;-0,955909744486935;0,921356698116845;3,8313486860616
48;0,45160921875;-0,500492752147429;0,235519589263663;2,27389878703804
49;0,00134390112304687;-0,492431202797276;0,23954414460777;2,22821781176052
50;0,00237513208007813;-0,483964290816184;0,240942786203916;2,20666767290695
51;0,179189765625;-0,185295994476309;6,33091237341454E-05;1,52237877052527
52;0,003508337890625;-0,168067509882733;0,0241103666996626;1,36609262293283
53;0,008874595703125;-0,144867475236288;0,03145200233119;1,32167403104734
54;0,00814907421875;-0,131150174963858;0,0143953104402859;1,2802875533326
55;0,017208021484375;-0,0896882407203317;0,0240492099435042;1,21303719884284
56;0,0039443134765625;-0,0833568913088671;0,0114232815241512;1,17566463607217
57;0,02211269921875;-0,03874434502692;-0,00836718711253085;1,08872817128275
58;0,00761341796875;-0,0217631857732125;0,00665912873004829;1,04782603951731
59;0,009097236328125;-0,00366259693416668;-0,0045950486402235;1,00946240184331
60;0,02328275;0,0432306490110992;0,0168644909369511;0,937894398695121
61;0,00396170703125;0,0518388304397387;0,00498285462169211;0,899536576935398
62;0,019941921875;0,09060438356334;-0,00417284178378644;0,842331769947842
63;0,0063738798828125;0,0993368920937663;0,0116114293923492;0,811498051966439
64;0,017969041015625;0,132949927299718;0,00534522493770721;0,766979848588931
65;0,0032963291015625;0,136504578951218;0,0134742745983896;0,748286102923702
66;0,032475875;0,183441561036505;0,0469843469311551;0,684546014777405
67;0,0041258203125;0,194216087476167;0,0359819883892406;0,64958974340848
68;0,032585765625;0,242330813166745;0,0473081504038991;0,58709526805147
69;0,00321974609375;0,243646890534014;0,0546595214398271;0,57428305671314
70;0,0462008125;0,292353282746715;0,0981278869283688;0,516784967820984
71;0,00210733227539062;0,298455003655212;0,092793198455732;0,493547592457528
72;0,004529513671875;0,306820696084955;0,0894252248912695;0,482719457960821
73;0,016272451171875;0,319966436823113;0,104765963202904;0,463015635220729
74;0,003269408203125;0,325412053739599;0,103204858377813;0,455791510315003
75;0,0673417578125;0,392704908227678;0,139409758352685;0,390733198263463
76;0,002399875;0,39003772753355;0,146516933732864;0,375203984032027
77;0,007270498046875;0,39254089167344;0,154678060762341;0,369041343974294
78;0,0049817421875;0,399054580336941;0,154090504995512;0,363791823741917
79;0,0084516982421875;0,402259391979059;0,162802605287714;0,357391841874028
80;0,00224615478515625;0,405302423677116;0,162357872546584;0,354030851319594
81;0,019489015625;0,42244087571667;0,169811181880198;0,341048337493776
82;0,00241542431640625;0,421702477709083;0,173987504433636;0,335906792294834
83;0,0259615234375;0,434889282135801;0,193954383715891;0,321678857632756
84;0,002016419921875;0,438860981754808;0,192008257805912;0,314911890859774
85;0,0060392265625;0,445012437373182;0,192721736260529;0,310835408360061
86;0,0043010126953125;0,445717792207618;0,197293139134995;0,307416787878478
87;0,0100838203125;0,454431172252053;0,200058548515382;0,301804488804621
88;0,0031228017578125;0,454177791953478;0,204086426784638;0,298401948389489
89;0,02607828125;0,472265576919573;0,215514137832688;0,284159619859623
90;0,00235066284179687;0,47140705278958;0,219049834367168;0,280418423504053
91;0,038200765625;0,488923683586778;0,24330560190639;0,2630131082285
92;0,00140281298828125;0,491526082211368;0,242110620281975;0,258572014357408
93;0,0025107421875;0,494332479500878;0,241853153317964;0,256330377876807
94;0,1930385625;0,593696978819359;0,338814375953476;0,183746422678801
95;0,00103636059570313;0,591176794114682;0,341646070998898;0,173289138868025
96;0,00091994287109375;0,590222616896649;0,34308926466161;0,170698455276882
97;0,0012526923828125;0,58968965339995;0,344410472511814;0,169459089130402
98;0,00398008056640625;0,5898357516542;0,347055964255783;0,168307003071836
99;0,003616896484375;0,59207723439967;0,347671017266907;0,167232978776273
100;0,00494245703125;0,59273320913464;0,350522255712639;0,165931914000631
101;0,0027282421875;0,594431247508992;0,350964450023994;0,165054386247606
102;0,018781720703125;0,599019135029548;0,359919792289783;0,160905746774475
103;0,00107544848632813;0,600163993099316;0,359684082339385;0,159895122262903
104;0,0019659140625;0,6014940945268;0,359885681429483;0,159171562096383
105;0,137113625;0,647783545430917;0,412248396405192;0,129495678226424
106;0,00102160473632812;0,646550916974646;0,413755288997974;0,126751935628375
107;0,00128443432617187;0,646039539046432;0,414852915001228;0,125920113505264
108;0,00467155859375;0,646311514243408;0,417201934438904;0,125122236542909
109;0,00237424487304688;0,647673886998457;0,41744725994053;0,124547488477522
110;0,01521704296875;0,650377223775813;0,423638173751278;0,122278029482253
111;0,00160986010742188;0,651774147391092;0,423429651615827;0,121451653401734
112;0,0174858125;0,657661649867908;0,428255342755241;0,119013291713111
113;0,00111591809082031;0,657174104970676;0,429206886770063;0,11824297431792
114;0,00360375;0,657114818489836;0,43113195053941;0,117614861300732
115;0,00249215966796875;0,658386334787426;0,431464870244084;0,117102980418475
116;0,0166782578125;0,660962985420081;0,438161843178348;0,115112449231717
117;0,00112664672851563;0,662111118952125;0,437871219002809;0,114195927079582
118;0,0026828349609375;0,663554702018688;0,438150188143213;0,113659692104099
119;0,0082296171875;0,664385878255089;0,441696584365801;0,112645132489142
120;0,001939064453125;0,66583583815315;0,441584898464556;0,111972800386977
121;0,0599871015625;0,677928442895354;0,462609956507365;0,104643930409323
122;0,0010030185546875;0,679396751254817;0,462003534935403;0,102804385897151
123;0,0016268701171875;0,680627186606387;0,461865709974133;0,102191553178094
124;0,0747463125;0,700132591716813;0,482610161322174;0,0956592593367854
125;0,00110273168945313;0,698454451690399;0,484280906722109;0,0921954508549382
126;0,00140592578125;0,697904918214822;0,485281283191451;0,0915818454591616
127;0,0080750859375;0,69874870466185;0,488172150515266;0,0907529451460944
128;0,00127999951171875;0,69949214494322;0,488192016556033;0,0904253654520967
129;0,009488294921875;0,70228180050478;0,490274212024371;0,0894919902853093
130;0,00164445849609375;0,701909531179429;0,491236389721118;0,089065460506646
131;0,5873575;0,814513318924272;0,660465860744632;0,0352850754489378
132;0,00113449523925781;0,813837848121452;0,661138862824893;0,0347987146934202
133;0,0018783935546875;0,813807610151359;0,661587115228125;0,0347160074327041
134;0,01403696484375;0,815855810798038;0,66354024971263;0,0343419114264092
135;0,000782046875;0,815612866439799;0,663865652269455;0,0341832204047766
136;0,00131175463867187;0,815515149129246;0,6642221073292;0,0341057000035548
137;1,083504;0,917393298357886;0,846868621501973;0,00958868932239366
138;0,000567436706542969;0,918581926657094;0,846271887172361;0,00724351181323987
139;0,000606414672851563;0,919233064526767;0,845971210866295;0,00661968783760071
140;0,00058692236328125;0,919539748586495;0,845855964675411;0,00648300966827341
141;0,000866072021484375;0,919775517012749;0,845803547321392;0,00643933322133056
142;0,00135306640625;0,919901290257392;0,845853192511683;0,00642913977139411
143;0,02605699609375;0,92057411937237;0,847756350196024;0,00631744898263567
144;0,00067882763671875;0,92075685192373;0,847715669286089;0,00628007731376527
145;0,000740802734375;0,92085311090765;0,847727153369855;0,00627014946893119
;Extremum;0,92085311090765;0,847727153369855;0,00627014946893119
