Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
F(x,y) = x^2 + 2y^2 -4x + 2y;;;;;;;;
0;;;2;-2;3601;-0,000832639467110763;5,99666944213156;
1;-0,999028837495384;-3,99445099501529;1,99916736053289;3,99666944213156;0,998335414402326;-0,999028837495384;-3,99445099501529;5,99666949993768
2;-6,90503201838943E-07;0,998057236949673;1,00013852303751;0,00221844711626495;99,612100545014;-6,90503201838943E-07;0,998057236949673;4,11748677833045
3;-0,000137832534290615;-0,000275703063719299;1,0001378325343;1,00027568406594;1,89978075126006E-08;-0,000137832534290615;-0,000275703063719299;0,998057236949912
4;-1,31005812921165E-14;1,89977811261177E-08;1,00000000000001;0,999999981002219;3,609166832445E-14;-1,31005812921165E-14;1,89977811261177E-08;0,000308236900537849
;;Extremum;1,00000000000001;0,999999981002219;3,609166832445E-14;;;
