Iteration;Lambda;X1;X2;F_x
;Rosenbrok;;;
0;;0,5;0,5;2,75
1;0,011750749484375;0,488249250515625;0,38249250515625;1,70139249563611
2;0,010371929171875;0,478121077226487;0,303148801711177;1,14759172427744
3;0,0155114014960937;0,463288421241277;0,209103546183141;0,651879091519886
4;0,0108516229414062;0,453233558720418;0,163721289405334;0,473467264795825
5;0,0176394778007813;0,437243952125182;0,10596212840572;0,303462000232752
6;0,0124678116875;0,426341001611992;0,0795398111463361;0,245032465227464
7;0,0213466013242188;0,408139138832833;0,0455817183874463;0,187354487158731
8;0,019217184390625;0,39245256865687;0,0280626726455844;0,161894154605508
9;0,0398905904375;0,361142239291998;0,00567394102385156;0,13074565306826
10;0,084981594375;0,299761352709615;-0,00396967006808095;0,0900144513827921
11;0,1694764105;0,198156396581915;0,00948563861207204;0,0401657309051174
12;0,0561109721328125;0,175918900488822;-0,00115932946440605;0,0309608999972664
13;0,188025959;0,109764260547549;0,00320035122243203;0,0121506153730195
14;0,11200902175;0,0851750856534631;-0,00396901297118853;0,0074123258557294
15;0,04865577534375;0,076886565988584;-0,000106704901936954;0,00591165788887785
16;0,16496277;0,0515197241860548;0,000245341821985012;0,0026548839063033
17;0,1206595286875;0,039087032909256;-0,000346714750175869;0,00152899825282916
18;0,10540387640625;0,0308471833375475;0,000384186823339354;0,000953024715012546
19;0,1625002915;0,0208218307689367;-0,000864422592322727;0,000441020900751418
20;0,084430071265625;0,0173058534575325;0,000595242629145756;0,000303035701769112
21;0,05269530290625;0,0154819790775408;-3,2087183765209E-05;0,00023970197203103
22;0,13761942965625;0,0112207368163385;5,62292148156579E-05;0,000125936551947521
23;0,137734543875;0,00812977068165887;-9,86648902860227E-05;6,61905189421116E-05
24;0,169560911375;0,0053727880295552;0,000235929284066225;2,94234774813317E-05
25;0,058194181828125;0,00474745802252339;-3,86649490443601E-05;2,25533074584677E-05
26;0,1642989769375;0,00318745303021475;8,83872823822185E-05;1,02379799366943E-05
27;0,067450866078125;0,00275746009527209;-3,08486925572303E-05;7,61310259534287E-06
28;0,09765125509375;0,00221892121692359;2,93995783670649E-05;4,93225471899527E-06
29;0,124138397;0,00166801457104722;-4,35927522522014E-05;2,80127588971506E-06
30;0,1256237461875;0,00124893009282665;6,59329446387009E-05;1,60329790865527E-06
31;0,0483904785;0,00112805744321678;2,12240983908599E-06;1,27255864143204E-06
32;0,12627304428125;0,000843170948258571;-3,23765319279132E-06;7,11042071969225E-07
33;0,1839315306875;0,000532999501969711;8,67247695891627E-06;2,8484058766599E-07
34;0,120723643828125;0,000404308217896992;-1,22669834310003E-05;1,64969923884006E-07
35;0,0744090910625;0,000344139803891364;5,9885183125893E-06;1,18790828138188E-07
;Extremum;0,000344139803891364;5,9885183125893E-06;1,18790828138188E-07
