Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
;x^2 - 2xy + 3y^2 + x -4y - 4;;;;;;;;
0;;;;-2;2;10;7;-12;
1;0,16556520933993;0,117306600716067;0,370635602685475;-0,841043534620491;0,0132174879208415;-4,16380218769662;0,708522045082665;2,23860800323397;2,30010539735651
2;0,209552509947435;0,282851620673907;-0,0584824186934721;-0,692570961720329;0,482323413786935;-4,7762160722953;1,34978875101453;-0,279082406162265;0,492041130990366
3;0,00791083505599866;0,0104740823838633;-0,001934039724591;-0,681893005550611;0,480115638904754;-4,79106941793879;1,32401728891073;-0,244479844529744;0,0109038074952199
4;-0,0008;-0,00106122150745939;0,000198217420356595;-0,682952219381739;0,480311222780377;-4,78961753317483;1,32652688432423;-0,247771775445743;0,00107711976699816
;;;Extremum;-0,682952219381739;0,480311222780377;-4,78961753317483;;;
