Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
Himmelblau;;;;;;;;
0;;;3;-3;50;0,925925925925926;0,74468085106383;
1;-0,298596402708691;0,312064051540864;3,92592592592593;-2,25531914893617;8,70484593951189;-0,298596402708691;0,312064051540864;1,18822909838252
2;-0,0417264643663783;0,088383759244676;3,62732952321723;-1,94325509739531;0,208777882948138;-0,0417264643663783;0,088383759244676;0,43190714739938
3;-0,001171214783881;0,00670888170054035;3,58560305885086;-1,85487133815063;0,000686676740934197;-0,001171214783881;0,00670888170054035;0,0977383585228416
4;-3,50364437642685E-06;3,59284712808724E-05;3,58443184406698;-1,84816245645009;1,8697172022968E-08;-3,50364437642685E-06;3,59284712808724E-05;0,00681034784293917
5;-9,21071364682899E-11;1,01440538541174E-09;3,5844283404226;-1,84812652797881;1,48833263662362E-17;-9,21071364682899E-11;1,01440538541174E-09;3,60988998794186E-05
;;Extremum;3,5844283404226;-1,84812652797881;1,48833263662362E-17;;;
