Iteration;Lambda;X1;X2;F_x
;Rosenbrok;;;
0;;-2;2;409
1;0,000175043340209961;-1,7188803956228;2,07001733608398;85,6320811352673
2;0,000257821186676025;-1,56068132183687;2,11562757872948;16,8034008188539
3;0,000302502146057129;-1,49868346734329;2,13499368200032;7,47681707464229
4;0,000288222345458984;-1,47805425442598;2,14139558757825;6,32779868405423
5;0,000206751874267578;-1,47174300199991;2,14318394131661;6,16169612050044
6;0,000235606177154541;-1,4674098736519;2,14426035632401;6,09626806881208
7;0,000343490803710938;-1,46389393105437;2,14488079558541;6,07113254024377
8;0,000493502562255859;-1,46200976351264;2,14469372315384;6,0667066118162
9;1,105966565;-0,68667361736596;0,547418201228091;3,42091161674542
10;0,000915244046875;-0,702666032921322;0,533525246083563;3,05736175054208
11;0,00102705627392578;-0,710653541745758;0,525352817113494;2,96764350374564
12;0,00136290872949219;-0,713864724377692;0,519812767384792;2,94775654556703
13;0,00869565424121094;-0,709409697279153;0,502056375904352;2,9222268946953
14;0,00100948752050781;-0,705613049423675;0,50229981234392;2,91106071684583
15;0,00455858763671875;-0,695736804187314;0,498279104472565;2,89577090224546
16;0,00198953643261719;-0,696867844416126;0,492617121028887;2,88424974712549
17;0,24210452925;-0,347112953100905;0,154042243590104;1,92730604641374
18;0,00208911499487305;-0,35121744177415;0,140022259134732;1,85357268996615
19;0,00384975207861328;-0,349828766144255;0,127188288482785;1,82434950245495
20;0,1385401;-0,0690288119581602;-0,00603527590595937;1,1544871468215
21;0,00428196897949219;-0,058596783368767;0,0032139935743751;1,12063197171121
22;0,084457858875;0,120651547757139;0,00692320447587964;0,779080872381282
23;0,00673717546582031;0,130018209476456;0,0172089735502809;0,756877571964545
24;0,01669534278125;0,159331662141547;0,0161930994904777;0,715175260019318
25;0,00645599538867188;0,166403635382218;0,0280637111872326;0,694896852415668
26;0,011726003796875;0,186244692603936;0,0271876818026912;0,667821805931483
27;0,00956828393359375;0,196471475009436;0,0415389666286612;0,646521231471735
28;0,00716176573242187;0,209634403109245;0,0373308188832249;0,629054610189656
29;0,013269939671875;0,22324902272109;0,0548889769381539;0,605891170135963
30;0,00340760232519531;0,230079092548145;0,0514480817983192;0,592999709512882
31;0,036226557546875;0,280900260816698;0,0622313298483397;0,544905417555056
32;0,00222032148583984;0,279933863770158;0,0696354921605908;0,526112124146593
33;0,00506516220703125;0,282278455682911;0,0784767084039025;0,51526927748222
34;0,016509882671875;0,303732232160312;0,0824536688358845;0,494392020582175
35;0,0033735323515625;0,30441352977295;0,0890655223739645;0,48513803180248
36;0,15855202575;0,455444612694274;0,203288771597031;0,298255377518423
37;0,0076352466796875;0,45800019093411;0,209612318989274;0,293766099049092
38;0,00480987753710937;0,463080285488852;0,209758400651895;0,290477655627661
39;0,00443861254101562;0,463994800379483;0,213917336355667;0,287490317221627
40;0,0114904578789062;0,473382835911213;0,217074542863263;0,282249138685285
41;0,00287475966308594;0,472591091463288;0,221108846307109;0,278659006091102
42;0,036223899015625;0,495506553814785;0,237290014351027;0,26129801021366
43;0,0013713886640625;0,494651417981541;0,239549166124492;0,258009760947397
44;0,00369645168505859;0,494634793024411;0,243342360741755;0,255568554050103
45;0,0075768806015625;0,50031231870597;0,245344502537328;0,25215579550161
46;0,00398278571875;0,500332917639105;0,249301729693849;0,24977355091229
47;0,00672416917773438;0,505664760670753;0,250688655186959;0,246875530555753
48;0,00221389466894531;0,505610926254823;0,252906178428049;0,245169251875138
49;0,57145197175;0,754415953875475;0,565631020757351;0,0615452266065962
50;0,00128089732080078;0,753687431513854;0,566530828249538;0,0608990756119516
51;0,00383117466503906;0,753826186317456;0,567690843706486;0,0606332519416608
52;0,00203814896044922;0,75448361819526;0,567920370043838;0,0604538986585643
53;0,0186479330117187;0,756182596584556;0,57286266932854;0,0595572917282413
54;0,000765101650390625;0,756798807803304;0,572701913828247;0,0591470006950874
55;0,00106728303930664;0,757304198603958;0,57271099035846;0,0589650376134872
56;0,00728770226367187;0,759078466373481;0,573875067961728;0,0585837711850425
57;0,00151310250683594;0,758739357202942;0,574578675803882;0,0583291843009781
58;0,3410937045;0,808754442271351;0,650078837122353;0,0381787943795415
59;0,00111562974829102;0,807735755576779;0,650972436641494;0,0371800491578556
60;0,00184227951269531;0,807572382206106;0,651512082386841;0,0370720894595547
61;0,00514732668554688;0,80845417304914;0,652192631155841;0,0368873521220889
62;0,00198891124072266;0,808312110389123;0,652751721569884;0,0367822846149199
63;0,00623729853808594;0,809459563746466;0,653521087643922;0,0365959164318602
64;0,000908825280517578;0,809304564608011;0,653830760351345;0,0364954209427336
65;0,00436996179980469;0,809354114043876;0,654829836700951;0,0363508824238107
66;0,00184477364404297;0,809923585070964;0,654912573034839;0,0362421766489912
67;0,00583810762890625;0,810131221924804;0,656154502717704;0,0360526522596736
68;0,00165797972680664;0,810675879532054;0,656206926053613;0,0359413270385663
69;0,0106306836875;0,811293749700969;0,658308517821256;0,0356112803252995
70;0,000829974983886719;0,811636881320992;0,658290097436574;0,0355022246840164
71;0,00258319240625;0,812220629587792;0,658529988019259;0,0353985354782763
72;0,00203731156152344;0,812209774261914;0,659007681802403;0,0353110066036949
73;0,00924485989746094;0,813648482262176;0,660259501663663;0,0350381816167371
74;0,000977137608886719;0,813451567949674;0,660604304411805;0,0349211303502125
75;0,00415139874121094;0,813515728136994;0,661516905556824;0,0347848479330077
76;0,00201797529003906;0,814077323939483;0,661634325230535;0,034685521045436
77;0,00493576901367187;0,81416469117793;0,66270791828922;0,0345372026635399
78;0,00113873713696289;0,814529990213651;0,662743498375127;0,0344503338082149
79;0,0129069024804688;0,816308391140821;0,664590751249615;0,0340554152725686
80;0,000791441666870117;0,816142094634366;0,664870706042207;0,0339518900148418
81;0,0022536031484375;0,81607527177855;0,66541932886812;0,0338596119524567
82;0,002850821046875;0,816603258577821;0,665738347340585;0,0337559230141356
83;0,00399922683691406;0,816629894031533;0,666620204516242;0,0336315748336546
84;0,00110782160217285;0,816940577640432;0,666678737225471;0,033561613283758
85;0,0238722398828125;0,820117299200717;0,67008373110063;0,0329871202087111
86;0,000622542683349609;0,819828943280668;0,670396079857958;0,03275862608219
87;0,00122057536645508;0,819578944375832;0,670816791774541;0,0326314761907959
88;0,02827967125;0,821505815996135;0,675866716931696;0,0319591585560214
89;0,000945028522094726;0,822152138493189;0,67567867303644;0,0316363881196587
90;0,00146286377172852;0,822549573746352;0,675753415366988;0,0315582737611668
91;0,07097493075;0,828253924382201;0,687597511708336;0,029750462967767
92;0,00057641438671875;0,828756118773178;0,687413872027119;0,0293577791041457
93;0,000644654510009766;0,829100248399812;0,687339457284862;0,0292071843012667
94;0,000879368196044922;0,829381053564103;0,687351375293743;0,0291380270238377
95;0,00478321803125;0,83018563957306;0,6878503191927;0,0290212999912317
96;0,000885848421875;0,830087055929099;0,688090893825235;0,0289613489312636
97;0,00579232015136719;0,830221372018382;0,689195635934787;0,0288252993454638
98;0,00141893496044922;0,830669305952771;0,689216037557964;0,0287361593362806
99;0,048367065125;0,834265700625632;0,69691083418089;0,0275509548763301
100;0,00107018764355469;0,834945983467434;0,696715722933388;0,0272603905390825
101;0,00210764003662109;0,83534674471737;0,696892373676551;0,0271938342653321
102;0,0059040173125;0,835492192701761;0,69796904235724;0,0270634295873399
103;0,000774738469238281;0,835726856502817;0,697981153333697;0,0270066627212528
104;0,00363449354541016;0,836364222355277;0,698314236746452;0,0269184862161763
105;0,00124053493945312;0,836275982146476;0,698609701326725;0,0268614770469042
106;0,22961447725;0,854024143645693;0,732951622697448;0,0226009108241923
107;0,000574632877929688;0,854897486933829;0,732538532364759;0,0213399503268037
108;0,000921211410888672;0,855696833075952;0,732227380461353;0,02082341461459
109;0,000749597135498047;0,855915816889151;0,732225834743315;0,0207736511457635
110;0,0022511568671875;0,856282406256038;0,732390642323729;0,0207234570808801
111;0,00235193325;0,856290685980058;0,732780553786218;0,0206729046104732
112;0,00433766082226563;0,856864104581741;0,733173706445577;0,0205965416803141
113;0,00116114276074219;0,85678166123398;0,733415778533249;0,0205549254688894
114;0,063172885265625;0,860608455085518;0,741742425892572;0,0195500176511633
115;0,000887587276977539;0,86119062905263;0,74154795322526;0,0192690685709246
116;0,0012422875925293;0,861492141361789;0,741573133486103;0,0192198979986367
117;0,3676796036875;0,887884937389988;0,785369373458717;0,0134520486920472
118;0,000892543840087891;0,887143519365107;0,785899596014737;0,0128629291015582
119;0,00107164306469727;0,886957957211372;0,78614050736333;0,0128091851217213
120;0,00915524533398438;0,887228640795138;0,787154744662389;0,0127174191231503
121;0,0012483965546875;0,887501383687628;0,787159717371622;0,0126808376420591
122;0,14740151825;0,894555427284981;0,801870055053064;0,0113877287186626
123;0,000552332233215332;0,894996159371436;0,80168881909836;0,0110707895652571
124;0,000572323455444336;0,895253770763289;0,801612048338727;0,0109735343780282
125;0,000638427156005859;0,895417862376513;0,801595100105865;0,0109405936245212
126;0,00115874192199707;0,895586335659628;0,801636362478609;0,0109214434678539
127;0,42532483075;0,917589900549882;0,838939233612549;0,00771072202720362
128;0,000552478582275391;0,917066134341216;0,83927425573851;0,00717940921997481
129;0,000678186481933594;0,9167467374635;0,839509727377202;0,00701480137404115
130;0,000594925474121094;0,916646213515249;0,839618581280613;0,00698650474459838
131;0,000748910017333984;0,916600347409797;0,839711700672968;0,00697525973924067
132;0,00419579818554688;0,916616413780151;0,840084703941843;0,00695384146177453
133;0,000760869440673828;0,916715140883523;0,840100065297707;0,00694347447308077
;Extremum;0,916715140883523;0,840100065297707;0,00694347447308077
