Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
0;;2;;;;;;;
1;;3;;;;;;;
2;;2;;;;;;;
3;;5;;;;;;;
4;;14;;;;;;;
5;;4;;;;;;;
6;;5;;;;;;;
7;;4;;;;;;;
