Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
0;3;;;;;;;
1;27;;;;;;;
2;2047;;;;;;;
3;1156;;;;;;;
4;1024;;;;;;;
5;1156;;;;;;;
6;2044;;;;;;;
7;27;;;;;;;
8;3;;;;;;;
