Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
F(x,y) = x^2 + 2y^2 -4x + 2y;;;;;;;;
0;;;0;0;0;2;-0,5;
1;0;0;2;-0,5;-4,5;0;0;2,06155281280883
2;0;0;2;-0,5;-4,5;0;0;0
;;Extremum;2;-0,5;-4,5;;;
