Iteration;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
Himmelblau;;;;;;;;
0;;;3;-3;50;0,925925925925926;0,74468085106383;
1;-0,136451579427016;0,327230768374783;3,76939708399773;-2,38120830265715;6,63557514594378;-0,164211767438135;0,39380374386728;0,9873576036901
2;0,0307651829178414;0,0401670401652976;3,56056969224537;-1,88040979121612;0,0504231939981846;0,0241922528462516;0,0315854189575092;0,542593797059675
3;-0,000286158010536719;0,000757035138499969;3,58471512120454;-1,848885505552;1,12471977321474E-05;-0,00028671294084659;0,00075850321462757;0,0397087185169141
4;6,59505989563332E-08;1,21319480892674E-07;3,58442827441067;-1,84812664822728;4,98789314438958E-13;6,59198240377484E-08;1,21262868864788E-07;0,000811261685539579
;;Extremum;3,58442827441067;-1,84812664822728;4,98789314438958E-13;;;
