Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
1;3;;;;;;;;
5;8;;;;;;;;
10;4;;;;;;;;
20;6;;;;;;;;
50;6;;;;;;;;
70;14;;;;;;;;
100;4;;;;;;;;
