Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
;x^2 - 2xy + 3y^2 + x -4y - 4;;;;;;;;
0;;;;3;2;0;-3;-2;
1;0,775491086400261;-1,12370040902827;2,05733637771702;0,673526740799218;0,449017827199478;-4,66890629742708;-1,44901782719948;2,65294651840156;2,79607287568142
2;0,0008;-0,00115396374739721;0,00211031515727177;0,672367526537458;0,4511401844142;-4,67619674222986;-1,44245468424652;2,63789394658972;0,00241830061231977
;;;Extremum;0,672367526537458;0,4511401844142;-4,67619674222986;;;
