Iteration;Lambda;deltaX1;deltaX2;X1;X2;F_x;dF_dX1;dF_dX2;norm_X
;x^2 - 2xy + 3y^2 + x -4y - 4;;;;;;;;
0;;;;1;0;-3;2;-2;
1;0,333188658164027;0,222318588611475;0,221740139105103;1,66637731632805;-0,666377316328053;-4,33333308216248;0,667245367343894;0,665509265312212;0,942399838408919
2;0,333188658164027;0,0741705241627198;-0,0737850585330325;1,88869590493953;-0,44463717722295;-4,48148131413108;0,222608190120944;-0,2214512911082;0,313997204020273
3;0,334160427028501;0,0246725661711973;0,0249115732549158;1,96308275281038;-0,518637435225679;-4,49794240887636;0,0738344943792311;0,0745497409027163;0,104925884893254
4;0,331616303112097;0,00824565603822974;-0,00807084342925248;1,98756747487858;-0,493915525749556;-4,4997713906653;0,0248650502428478;-0,0243378970017776;0,0347947470590351
5;0,335732782080431;0,00274260957529185;0,0028021004930047;1,99591548737318;-0,502086555619949;-4,49997460932789;0,00816902525364593;0,00834622247979766;0,0116813972517367
6;0,330644534247622;0,000914872976939704;-0,000890197221775815;1,99861653092343;-0,49932692277539;-4,49999717994741;0,00276693815314832;-0,00269230889844119;0,00386150355394287
;;;Extremum;1,99861653092343;-0,49932692277539;-4,49999717994741;;;
